diagnostic_id,severity,diagnostic,upstream_present,age_scale_pre_fix_present,age_scale_intermediate_present,age_scale_post_fix_present,origin,attribution_basis,resolution
incoming_feasibility,NOTE,"New submission; noncanonical riskRegression URL; DESCRIPTION title case (upstream additionally reported README URLs)",1,1,1,1,upstream,"Same package metadata and riskRegression Rd URL are present upstream.","Not changed; upstream-owned metadata/documentation."
future_timestamp_verification,NOTE,"Unable to verify current time in the original age-scale run",0,1,0,0,upstream,"Transient environment diagnostic with no source difference; assigned to the non-branch bucket required by the binary origin schema.","No source change; subsequent upstream and age-scale checks both passed."
age_scale_top_level_patterns,NOTE,"dynamicLM.Rproj; LICENSE.md; README.Rmd included after upstream ignore patterns were lost",0,1,0,0,age-scale,"Exact files arise from the branch replacement of upstream .Rbuildignore patterns.","Restored upstream build-ignore patterns."
phase7_manuscript_directory,NOTE,"manuscript directory included in the first post-fix tarball",0,0,1,0,age-scale,"Directory was created in Phase 7 and appeared in the intermediate check only.","Added manuscript to .Rbuildignore before the final check."
r_code_possible_problems,NOTE,"Undefined visible globals/functions reported by codetools",1,1,1,1,upstream,"The diagnostic text is identical in upstream and age-scale logs.","Not changed; inherited."
splc_data_codoc,WARNING,"splc and splc_test data/documentation mismatches",1,1,1,1,upstream,"The diagnostic text is identical in upstream and age-scale logs.","Not changed; inherited."
slow_examples,NOTE,"dynamic_lm.cv.pen_lm example exceeded the check threshold",1,1,1,1,upstream,"The same example is slow upstream; elapsed values are environment-specific.","Not changed; inherited."
worktree_git_pointer,NOTE,"Upstream temporary worktree .git pointer included as a hidden file",1,0,0,0,upstream,"Temporary-worktree artifact observed only in the requested upstream comparison.","Not changed; not present in the age-scale tarball."
upstream_top_level_files,NOTE,"Upstream LICENSE and tutorials top-level diagnostic",1,0,0,0,upstream,"Present in the upstream tarball and already excluded by the age-scale research branch.","Not changed."
upstream_rd_cross_references,NOTE,"Missing Rd package anchors and unknown dynpred cross-reference",1,0,0,0,upstream,"Present only in the upstream check; age-scale Rd cross-reference check passed.","Not changed."
